id,group,weight,minimum_fte,title,reports_to,skills,tasks,competence_evidence,fte
city-director,admin_training,0,1,City accountable lead,Local owner board,Local operating governance; budget and emergency accountability,Own city delivery and operations; coordinate shared domestic capabilities,"Observed task assessment, authorisation scope and expiry; apprentices supervised until assessed.",1
chief-engineer,admin_training,10,1,Engineering authority,City director,Systems integration; configuration and design checking,Own interfaces and technical concessions; commission competent discipline checks,"Observed task assessment, authorisation scope and expiry; apprentices supervised until assessed.",3
quality-safety,admin_training,20,1,Quality and safety assurance,Local owner board (independent escalation),Independent inspection; hazard review; traceability,Audit evidence; raise stop-work/hold points independently of production,"Observed task assessment, authorisation scope and expiry; apprentices supervised until assessed.",4
training,admin_training,20,1,Training and competence assessors,City director,Practical assessment; instruction; competence records,Train local recruits and apprentices; witness competence before unsupervised work,"Observed task assessment, authorisation scope and expiry; apprentices supervised until assessed.",4
procurement-stores,admin_training,25,1,Procurement and stores,City director,BOM traceability; repairable spares; supplier quality,Purchase controlled common parts; manage local repair loops and critical stock,"Observed task assessment, authorisation scope and expiry; apprentices supervised until assessed.",5
finance-people,admin_training,20,1,Finance and people administration,City director,Payroll; cost control; roster and employment administration,Maintain local pay/leave inputs; reconcile labour budget and workload,"Observed task assessment, authorisation scope and expiry; apprentices supervised until assessed.",4
workshop-lead,fleet_maintenance,10,1,Fleet workshop supervision,Chief engineer,Isolation authority; work planning; calibrated tooling,Allocate same-line workshop slots; control defect and release records,"Observed task assessment, authorisation scope and expiry; apprentices supervised until assessed.",8
fleet-mechanical,fleet_maintenance,35,1,Mechanical technicians,Workshop lead,Wheels/brakes; joint inspection; controlled fastener assembly,Inspect bogies and brakes; replace modules; record torque/preload evidence,"Observed task assessment, authorisation scope and expiry; apprentices supervised until assessed.",24
fleet-electrical,fleet_maintenance,30,1,Electrical and battery technicians,Workshop lead,HV isolation; LFP diagnostics; controls and harness repair,"Diagnose packs, HVAC and controllers; verify protective interlocks","Observed task assessment, authorisation scope and expiry; apprentices supervised until assessed.",21
fleet-finish-cleaning,fleet_maintenance,25,1,Vehicle cleaning and finish repair,Workshop lead,GFRP/EPDM compatibility; coating preparation; controlled washing,Turnaround clean; inspect seals; repair finish damage under qualified process,"Observed task assessment, authorisation scope and expiry; apprentices supervised until assessed.",18
infrastructure-lead,infrastructure_energy,10,1,Infrastructure work supervision,Chief engineer,Track access; lifting and electrical isolation coordination,Plan possessions; check civil and energy defect closure,"Observed task assessment, authorisation scope and expiry; apprentices supervised until assessed.",5
civil-track,infrastructure_energy,40,1,Track and civil technicians,Infrastructure lead,Survey checks; track geometry; bearing/joint inspection,"Inspect settlement, track, deck joints, drainage and walkways","Observed task assessment, authorisation scope and expiry; apprentices supervised until assessed.",19
solar-storage,infrastructure_energy,35,1,Solar and station storage technicians,Infrastructure lead,PV DC safety; storage BMS; charger and protection testing,Maintain PV/storage/top-up equipment; measure soiling and energy balance,"Observed task assessment, authorisation scope and expiry; apprentices supervised until assessed.",16
wayside-comms,infrastructure_energy,15,1,Wayside and communications technicians,Infrastructure lead,Fail-restrictive controls; networking; configuration control,Maintain point/crossing equipment where installed; test communications and recovery,"Observed task assessment, authorisation scope and expiry; apprentices supervised until assessed.",8
occ-lead,occ_remote_assist,15,1,Shift leadership and degraded-operation authority,City director,GoA 4 incident command; dispatch competence,Own service start; coordinate recovery and same-line depot releases,"Observed task assessment, authorisation scope and expiry; apprentices supervised until assessed.",12
dispatcher,occ_remote_assist,40,1,Line dispatch and control,OCC lead,Timetable supervision; protected movement authority,Monitor headways and station berths; authorise line-local recovery,"Observed task assessment, authorisation scope and expiry; apprentices supervised until assessed.",31
remote-assist,occ_remote_assist,45,1,Remote assistance,OCC lead,Vehicle fault diagnosis; passenger emergency response,Resolve remote-assist requests; coordinate on-site responders,"Observed task assessment, authorisation scope and expiry; apprentices supervised until assessed.",34
customer-service,passenger_service,55,1,Passenger service and fare support,City director,Accessible communication; fare-system support,Resolve passenger queries; verify fare equipment and complaints,"Observed task assessment, authorisation scope and expiry; apprentices supervised until assessed.",27
station-cleaning,passenger_service,45,1,Station cleaning and waste,Station lead,Product compatibility; wet-floor control; waste segregation,Clean measured public areas; record defects and wash-water disposal,"Observed task assessment, authorisation scope and expiry; apprentices supervised until assessed.",22
station-lead,station_platform,15,1,Station team coordination,OCC lead,Accessible evacuation; platform protection,Allocate mobile teams; inspect opening and closing readiness,"Observed task assessment, authorisation scope and expiry; apprentices supervised until assessed.",13
platform-assistance,station_platform,85,1,Platform and accessibility assistance,Station lead,Accessibility assistance; crowd management; first aid,Assist boarding; manage obstructions and platform incidents,"Observed task assessment, authorisation scope and expiry; apprentices supervised until assessed.",66
