bucket,line_id,description,quantity,source,base_usd,cost_low_usd,cost_high_usd,cost_basis,notes
Body + interior,B1,"S355 RHS tube, underframe + side/roof frame",3.2 t,SOURCE,3000,2550,4050,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba S355 RHS tube anchor; cut/bend/weld locally
Body + interior,B2,"S355 folded plate, bolsters/coupler pockets/brackets",2.0 t,SOURCE,2000,1700,2700,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba S355 plate anchor; press-brake + weld
Body + interior,B3,"CNC cutting, drilling, fixture consumables",set,MAKE,6000,4800,8700,Local fabrication estimate band; replace with shop-route quote and labour-rate pack.,Alibaba fabrication-service proxy; per consist allocation
Body + interior,B4,Weld consumables + shielding gas,set,SOURCE,2000,1700,2700,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba welding-wire/gas anchor; EN 15085 WPS-controlled
Body + interior,B5,Shot blast + zinc-rich primer + cavity wax,set,SOURCE,4000,3400,5400,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba zinc-rich primer/blast proxy; corrosion package
Body + interior,B6,"Composite side sandwich panels, fire-rated",150 m²,BID,9000,6750,14850,Tender-only rail component band; exact price requires supplier RFQ and certification scope.,Alibaba fire-rated panel anchor; GFRP/basalt FR sandwich needs EN 45545 evidence
Body + interior,B7,Composite roof fairings + skirts,95 m²,BID,4000,3000,6600,Tender-only rail component band; exact price requires supplier RFQ and certification scope.,Alibaba fire-rated/composite-panel anchor; removable service panels
Body + interior,B8,Multi-part fiberglass A/B-end sensor cowl cast kits,2,BID,4000,3000,6600,Tender-only rail component band; exact price requires supplier RFQ and certification scope.,"Alibaba FRP/composite proxy; CWL-FRP-01 through CWL-FRP-06 cast kit accepts one bonded panoramic glass pane, LED lamp clusters, washer/heater service hatches, and T-OBS aperture"
Body + interior,B9,Complete inter-car articulation/gangway module,2,BID,30000,22500,49500,Tender-only rail component band; exact price requires supplier RFQ and certification scope.,"Alibaba train-gangway anchor; lower pivot, upper links, bellows, turntable floor"
Body + interior,B10,COTS laminated safety-glass window cassette,18,SOURCE,6000,5100,8100,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba laminated transport-glass anchor; bonded/gasketed rail-style cassette
Body + interior,B11,COTS electric plug/sliding door cassette,12,BID,90000,67500,148500,Tender-only rail component band; exact price requires supplier RFQ and certification scope.,"Alibaba sliding-door-system proxy; door, controller, obstruction sensors, seals, emergency release"
Body + interior,B12,"Stepped floor board + hatch system, EN 45545",135 m²,SOURCE,6000,5100,8100,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,"Marketplace honeycomb/composite-board anchor; 350 mm low centre, 760 mm bogie-end decks"
Body + interior,B13,"Vinyl/rubber floor covering, EN 45545 R5",135 m²,SOURCE,1500,1275,2025,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba bus/train vinyl-floor anchor
Body + interior,B14,"COTS longitudinal seat modules, EN 45545 R7",60 seats,SOURCE,6000,5100,8100,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba bus/metro seat anchor; rail fire-test evidence still required
Body + interior,B15,COTS grab rail + stanchion kit,set,SOURCE,2500,2125,3375,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba bus handrail fittings anchor; stainless modular system
Body + interior,B16,COTS interior LED lighting kit,3 cars,SOURCE,1500,1275,2025,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba/AliExpress 24 V bus-light anchor; emergency mode
Body + interior,B17,COTS exterior marker + head/taillight kit,set,SOURCE,1200,1020,1620,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba bus lamp anchor; sealed head/tail/marker class
Body + interior,B18,COTS PIS display + speaker kit,set,SOURCE,3000,2550,4050,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba bus/metro display anchor; interior/exterior
Body + interior,B19,COTS CCTV + intercom kit,set,SOURCE,2500,2125,3375,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba bus CCTV plus AliExpress PoE camera anchor; passenger intercom included
Body + interior,B20,Paint + 2K urethane topcoat,set,SOURCE,3000,2550,4050,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba automotive coating proxy; white/silver base coat under concept livery
Body + interior,B21,Interior FR panels + trim clips,set,SOURCE,5000,4250,6750,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba FR/composite panel anchor; supplier-certified HL2 required
Body + interior,B22,Scharfenberg Type 10 end coupler + electric head,2,BID,8000,6000,13200,Tender-only rail component band; exact price requires supplier RFQ and certification scope.,"Alibaba railway-coupler proxy; rescue unlock handle, certified coupler RFQ required"
Body + interior,B23,EN 15227 crash energy absorber / crush-can set,2,BID,4000,3000,6600,Tender-only rail component band; exact price requires supplier RFQ and certification scope.,Alibaba draft-gear/crash-part proxy; bolts to coupler pocket
Body + interior,B24,Inter-car energy-guidance trainline and service-loop kit,2,SOURCE,4000,3400,5400,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,"Commodity HV jumper/cable-chain anchor; TCN-E, CAN-FD, 24 V, 110 V, EB loop, coolant, HVAC sleeve"
Body + interior,B25,Door sill gap-filler + external emergency release kit,12,BID,6000,4500,9900,Tender-only rail component band; exact price requires supplier RFQ and certification scope.,Commodity actuator anchor plus door-safety qualification; per exterior door cassette
Body + interior,B26,"Jacking, lifting, towing, and recovery fittings",set,MAKE,3000,2400,4350,Local fabrication estimate band; replace with shop-route quote and labour-rate pack.,"Alibaba machined/welded steel proxy; welded pads, tow eyes, labels"
Body + interior,B27,Single laminated panoramic end-glass assemblies,2,BID,10000,7500,16500,Tender-only rail component band; exact price requires supplier RFQ and certification scope.,Alibaba train curved/laminated glass anchor; RF-transparent heated/de-iced end glazing still needs RFQ
Body + interior,B28,"Concept livery package: white/silver body, green band, yellow thresholds",set,SOURCE,2000,1700,2700,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba vinyl/paint-mask anchor; exterior decals and safety edging
Body + interior,B29,"Articulation adapter-frame steel, anti-lift, and shim kit",2,MAKE,6000,4800,8700,Local fabrication estimate band; replace with shop-route quote and labour-rate pack.,"Marketplace machined-steel proxy; underframe anchors, clevis brackets, shear-key datums, machined shims"
Bogies (6 per consist),G1,Welded bogie frame (new powered),2,MAKE,10000,8000,14500,Local fabrication estimate band; replace with shop-route quote and labour-rate pack.,Alibaba train-bogie fabrication proxy; EN 15085 CL1 required
Bogies (6 per consist),G2,Converted freight trailer bogie frame,4,MAKE,12000,9600,17400,Local fabrication estimate band; replace with shop-route quote and labour-rate pack.,Alibaba bogie-frame/rail-part proxy; existing frame reworked with new bearings/brakes/air springs
Bogies (6 per consist),G3,"Wheelset monobloc (RFC 0022, S1002)",12,BID,18000,13500,29700,Tender-only rail component band; exact price requires supplier RFQ and certification scope.,Alibaba railway wheelset anchor; inspection and profile verification required
Bogies (6 per consist),G4,Axle bearing box (SKF / FAG),24,SOURCE,12000,10200,16200,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba railway axle-bearing/box anchor with certified bearing uplift
Bogies (6 per consist),G5,Primary chevron spring,24,SOURCE,4800,4080,6480,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba rail spring/rubber anchor; qualified compound required
Bogies (6 per consist),G6,Secondary air spring + levelling valve,12,SOURCE,6000,5100,8100,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba railway air-spring anchor; matches RFC 0022 twin-bellows spec
Bogies (6 per consist),G7,Secondary damper,12,SOURCE,3000,2550,4050,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba railway hydraulic-damper proxy
Bogies (6 per consist),G8,Brake disc,12,SOURCE,12000,10200,16200,Public catalogue/distributor or commodity quote band; replace with current supplier quote at procurement.,Alibaba rail brake-disc/brake-part proxy; EN material traceability required
