verification_uid,manufacturing_uid,qa_uid,city,asset_id,asset_name,asset_type,package_id,phase,qa_gate_id,qa_stage,hold_point,evidence_required,release_authority,required_result,blocks_successors,verification_source,status
samawah:SAM-SYS-001:sys-00-baseline-freeze:VERIFY,samawah:SAM-SYS-001:sys-00-baseline-freeze,samawah:SAM-SYS-001:qa-00-design-freeze,samawah,SAM-SYS-001,Samawah railway system,system,sys-00-baseline-freeze,program-control,qa-00-design-freeze,design freeze,"No procurement, fabrication, or site work starts until design assumptions, interfaces, hazards, and inspection/test plans are baselined.","approved drawing register, interface control document, hazard-log snapshot, inspection/test plan, material and supplier register",system assurance lead + owner engineer,pass,yes,qa_action,required
samawah:SAM-PLANT-001:dep-10-building-plant:VERIFY,samawah:SAM-PLANT-001:dep-10-building-plant,samawah:SAM-PLANT-001:qa-24-stations-depots-plant,samawah,SAM-PLANT-001,production/depot tooling at line-1-0985-0109,depots-production,dep-10-building-plant,depots-production,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
samawah:SAM-DEP-001:dep-10-building-plant:VERIFY,samawah:SAM-DEP-001:dep-10-building-plant,samawah:SAM-DEP-001:qa-24-stations-depots-plant,samawah,SAM-DEP-001,layup-minimal at line-1-0985-0109,depot,dep-10-building-plant,depots-production,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
samawah:SAM-PLANT-002:dep-10-building-plant:VERIFY,samawah:SAM-PLANT-002:dep-10-building-plant,samawah:SAM-PLANT-002:qa-24-stations-depots-plant,samawah,SAM-PLANT-002,production/depot tooling at line-1-0147-0558,depots-production,dep-10-building-plant,depots-production,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
samawah:SAM-PLANT-003:dep-10-building-plant:VERIFY,samawah:SAM-PLANT-003:dep-10-building-plant,samawah:SAM-PLANT-003:qa-24-stations-depots-plant,samawah,SAM-PLANT-003,production/depot tooling at line-2-0620-0667,depots-production,dep-10-building-plant,depots-production,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
samawah:SAM-DEP-001:dep-20-charging-stabling:VERIFY,samawah:SAM-DEP-001:dep-20-charging-stabling,samawah:SAM-DEP-001:qa-25-power-energy,samawah,SAM-DEP-001,layup-minimal at line-1-0985-0109,depot,dep-20-charging-stabling,depots-production,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-DEP-002:dep-10-building-plant:VERIFY,samawah:SAM-DEP-002:dep-10-building-plant,samawah:SAM-DEP-002:qa-24-stations-depots-plant,samawah,SAM-DEP-002,main-heavy at line-1-0147-0558,depot,dep-10-building-plant,depots-production,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
samawah:SAM-PLANT-004:dep-10-building-plant:VERIFY,samawah:SAM-PLANT-004:dep-10-building-plant,samawah:SAM-PLANT-004:qa-24-stations-depots-plant,samawah,SAM-PLANT-004,production/depot tooling at line-2-0015-0106,depots-production,dep-10-building-plant,depots-production,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
samawah:SAM-DEP-002:dep-20-charging-stabling:VERIFY,samawah:SAM-DEP-002:dep-20-charging-stabling,samawah:SAM-DEP-002:qa-25-power-energy,samawah,SAM-DEP-002,main-heavy at line-1-0147-0558,depot,dep-20-charging-stabling,depots-production,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-DEP-003:dep-10-building-plant:VERIFY,samawah:SAM-DEP-003:dep-10-building-plant,samawah:SAM-DEP-003:qa-24-stations-depots-plant,samawah,SAM-DEP-003,layup-minimal at line-2-0620-0667,depot,dep-10-building-plant,depots-production,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
samawah:SAM-PLANT-005:dep-10-building-plant:VERIFY,samawah:SAM-PLANT-005:dep-10-building-plant,samawah:SAM-PLANT-005:qa-24-stations-depots-plant,samawah,SAM-PLANT-005,production/depot tooling at line-3-0484-0261,depots-production,dep-10-building-plant,depots-production,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
samawah:SAM-DEP-003:dep-20-charging-stabling:VERIFY,samawah:SAM-DEP-003:dep-20-charging-stabling,samawah:SAM-DEP-003:qa-25-power-energy,samawah,SAM-DEP-003,layup-minimal at line-2-0620-0667,depot,dep-20-charging-stabling,depots-production,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-DEP-004:dep-10-building-plant:VERIFY,samawah:SAM-DEP-004:dep-10-building-plant,samawah:SAM-DEP-004:qa-24-stations-depots-plant,samawah,SAM-DEP-004,layup-minimal at line-2-0015-0106,depot,dep-10-building-plant,depots-production,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
samawah:SAM-PLANT-006:dep-10-building-plant:VERIFY,samawah:SAM-PLANT-006:dep-10-building-plant,samawah:SAM-PLANT-006:qa-24-stations-depots-plant,samawah,SAM-PLANT-006,production/depot tooling at line-3-0654-0608,depots-production,dep-10-building-plant,depots-production,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
samawah:SAM-EN-001:en-10-energy-build:VERIFY,samawah:SAM-EN-001:en-10-energy-build,samawah:SAM-EN-001:qa-25-power-energy,samawah,SAM-EN-001,energy site at line-1-0985-0109,energy,en-10-energy-build,energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-DEP-004:dep-20-charging-stabling:VERIFY,samawah:SAM-DEP-004:dep-20-charging-stabling,samawah:SAM-DEP-004:qa-25-power-energy,samawah,SAM-DEP-004,layup-minimal at line-2-0015-0106,depot,dep-20-charging-stabling,depots-production,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-DEP-005:dep-10-building-plant:VERIFY,samawah:SAM-DEP-005:dep-10-building-plant,samawah:SAM-DEP-005:qa-24-stations-depots-plant,samawah,SAM-DEP-005,layup-minimal at line-3-0484-0261,depot,dep-10-building-plant,depots-production,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
samawah:SAM-EN-002:en-10-energy-build:VERIFY,samawah:SAM-EN-002:en-10-energy-build,samawah:SAM-EN-002:qa-25-power-energy,samawah,SAM-EN-002,energy site at line-1-0775-0299,energy,en-10-energy-build,energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-EN-001:en-20-energy-commission:VERIFY,samawah:SAM-EN-001:en-20-energy-commission,samawah:SAM-EN-001:qa-25-power-energy,samawah,SAM-EN-001,energy site at line-1-0985-0109,energy,en-20-energy-commission,energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-EN-003:en-10-energy-build:VERIFY,samawah:SAM-EN-003:en-10-energy-build,samawah:SAM-EN-003:qa-25-power-energy,samawah,SAM-EN-003,energy site at line-1-0709-0371,energy,en-10-energy-build,energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-ST-001:st-10-civil-structure:VERIFY,samawah:SAM-ST-001:st-10-civil-structure,samawah:SAM-ST-001:qa-24-stations-depots-plant,samawah,SAM-ST-001,الجرعه,station,st-10-civil-structure,stations,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
samawah:SAM-DEP-005:dep-20-charging-stabling:VERIFY,samawah:SAM-DEP-005:dep-20-charging-stabling,samawah:SAM-DEP-005:qa-25-power-energy,samawah,SAM-DEP-005,layup-minimal at line-3-0484-0261,depot,dep-20-charging-stabling,depots-production,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-DEP-006:dep-10-building-plant:VERIFY,samawah:SAM-DEP-006:dep-10-building-plant,samawah:SAM-DEP-006:qa-24-stations-depots-plant,samawah,SAM-DEP-006,layup-minimal at line-3-0654-0608,depot,dep-10-building-plant,depots-production,qa-24-stations-depots-plant,building works,"Platforms, canopy PV, passenger circulation, depot pits, workshop tools, fire/life safety, and accessibility accepted before public opening.","platform gauge survey, canopy inspection, fire/life-safety signoff, accessibility audit, tool calibration, depot bay test",stations/depot acceptance board,pass,yes,qa_action,required
samawah:SAM-EN-002:en-20-energy-commission:VERIFY,samawah:SAM-EN-002:en-20-energy-commission,samawah:SAM-EN-002:qa-25-power-energy,samawah,SAM-EN-002,energy site at line-1-0775-0299,energy,en-20-energy-commission,energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
samawah:SAM-EN-004:en-10-energy-build:VERIFY,samawah:SAM-EN-004:en-10-energy-build,samawah:SAM-EN-004:qa-25-power-energy,samawah,SAM-EN-004,energy site at line-1-0639-0411,energy,en-10-energy-build,energy,qa-25-power-energy,energy commissioning,"PV strings, storage, chargers, protection, earthing, islanding, and emergency isolation accepted before train charging.","PV string test, BESS commissioning record, charger load test, protection relay settings, earthing test, isolation drill",energy systems lead,pass,yes,qa_action,required
